Applications in Information Systems,Artificial Intelligence,Basic Algebra,Business Analytics,Calculus and Analytic Geometry I,Calculus and Analytic Geometry II,Calculus and Analytic Geometry III,Circuit Modeling I,College Algebra,College Writing I,College Writing II,Computer Architecture/Operating Systems,Computer Graphics,Corporate Finance,Data Communications and Computer Networks,Database Design and Implementation,Discrete Mathematics,Discrete Structures,Electrical Engineering Projects and Tools,Elementary Algebra,Elementary Statistics,Engineering Management,Essentials of Anatomy and Physiology,Financial Accounting,Finite Mathematics with Applications,Fundamentals of Engineering Analysis Tools,General Physics I,General Physics II,Human Factors Engineering,Intermediate Algebra,Intermediate Software Engineering,Interpretation of Business and Economic Data,Introduction to Agribusiness,Introduction to Computer Security,Introduction to Marketing,Introduction to Microprocessors,Introduction to Programming,Introduction to Software Engineering,Leadership and Management,Logic and Digital Design,Management Accounting,Mathematical Problem Solving,Microcomputer Applications,Microsoft Excel for Business,Object Oriented Analysis and Design,Object-Oriented Programming and Data Structures I,Object-Oriented Programming and Data Structures II,Operations Management,Operations Research I,Organizational Behavior,postreq,Precalculus,Principles and Applications of Project Management,Programming in C++,Programming in COBOL,Programming in VB.NET,Programming Language Structures,Quality Engineering,Quality Management,Real-Time Embedded Systems Programming,Software Engineering Project I,Software Engineering Project II,Software Maintenance and Reengineering,Software Quality,Statistical Methods with Applications,Studio College Writing,Systems Analysis and Design,Systems Development and Implementation,Technical Writing,Trigonometry and Analytic Geometry,"Web Protocols, Technologies, and Applications",Windows Programming
$,B,$,$,$,$,B,B,$,B,B,C,$,$,B-,C+,B,$,$,$,$,$,$,$,$,$,B,$,$,$,C+,$,$,$,$,C,$,B,B,C,$,$,$,$,C+,A,B,$,$,$,$,$,$,$,A,$,A,$,$,$,$,$,C-,B-,C-,$,$,$,A,$,$,$
$,$,$,$,F,C-,B-,$,B-,A,B+,C+,A-,$,C+,$,C,$,A,$,$,$,$,$,$,$,C,C,$,$,B,$,$,B,$,A,$,B+,A,B,$,$,$,$,B+,B,C+,$,$,$,$,$,$,F,$,$,B-,$,$,A-,B+,B,B,A-,C,$,$,$,$,B-,$,$
B,$,$,$,$,$,$,$,F,B,B,C,$,B-,C,B,$,$,$,$,C,$,$,D,$,$,$,$,$,$,$,$,$,$,B,$,B,$,B,$,C,$,$,$,$,D,$,A,$,$,$,$,$,A,B,C,$,$,$,$,$,$,$,$,$,$,A,A,B,$,$,B
$,$,$,$,$,$,$,$,$,$,A,F,$,$,$,$,C-,$,$,$,$,$,$,$,$,$,C-,$,$,$,$,$,$,F,$,$,$,C-,$,$,$,$,$,$,$,B,F,$,$,$,$,$,$,A-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
B+,$,$,$,C-,$,$,$,C,B,C,C-,$,$,C-,C,$,$,A,$,B,$,$,B+,B,$,$,$,$,$,$,$,$,B,B+,$,$,C+,B,$,B,$,$,$,C,B,D,$,$,B+,$,$,$,C,B,A,$,$,A,$,$,$,$,$,$,$,A,B,A,B-,$,$
$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,D,$,$,C,$,$,$,$,$,$,$,$,$,$,B-,$,$,$,C,$,C-,$,$,B-,$,$,$,$,$,A-,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,D+,C-,C-,$,B+,A,B+,A,$,B-,B,C-,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B-,$,$,$,B,A,$,$,$,$,$,B,B,C+,$,$,$,$,$,$,$,$,$,B+,$,$,$,$,$,B,A,$,$,$,$,B,$,$,$
$,$,$,$,$,$,$,$,F,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,A,A,$,A,$,$,A,A-,$,$,A,A,A-,$,A,$,$,$,$,$,$,$,A,A,$,$,B+,$,$,A-,$,$,$,A-,A,A,$,$,$,$,A-,A,A,$,$,$,$,$,$,A,$,$,A,$,$,A,A,A,A,B+,A,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,F,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,A,$,$,$,$,A,$,$,A,A,A-,$,$,$,A,$,$,$,$,$,$,$,$,$,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,A,$,$,$,$,$,$,$,$,A,A,$,$,$,$,$,$,$,A,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,F,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,A-,$,$,$,$,$,$,$,$,$,A-,A,$,A,A,$,$,A,$,$,$,$,$,$,$,$,$,$,$,A,$,$,A-,$,$,$,B+,A,$,$,$,$,$,A-,$,A,$,$,$,$,$,$,$,$,$,A,$,$,$,$,$,A,$,A,$,$,$,A,$,$,A
$,$,$,$,D,$,$,$,$,B,B,C,$,$,C+,D,D,$,A,$,$,$,C+,$,$,$,$,$,$,$,C,$,$,$,$,$,$,C-,B,$,$,$,$,$,D,C+,C,$,$,$,$,C,$,C,$,A,A-,$,$,$,$,$,$,$,$,$,$,$,D+,$,$,C+
C+,$,$,$,D,$,$,$,$,B,B,B-,$,$,C,B-,$,$,$,$,F,$,$,$,C-,$,$,$,$,$,$,$,$,B,B,$,B+,$,B,$,B,$,$,$,$,B-,C,$,$,B,$,$,$,B,B+,B,$,$,$,$,$,$,$,$,$,$,C,B,C+,D,$,$
$,$,$,$,$,B,B+,$,$,A,B+,B+,$,$,B,A,C+,$,A,$,$,$,$,$,$,$,A-,A,$,$,B+,$,$,B+,$,A,$,B+,$,B+,$,$,$,$,A,B,B,$,$,$,$,$,$,A,$,$,A-,$,$,A-,A,A,B,B+,B+,$,$,$,$,$,$,$
$,$,$,$,$,D,D,$,$,C-,C,B-,$,$,F,C,F,$,C,$,$,$,$,$,$,$,C+,$,$,$,C,$,$,B,$,$,$,C-,C,C+,$,$,A,$,D,C,C,$,$,B,$,$,$,$,C-,$,A-,$,$,$,$,$,$,C,D,$,B,$,B-,$,$,$
$,$,$,$,F,$,$,$,$,C,C,C-,$,$,C+,C+,C-,$,B,$,$,$,$,$,$,$,$,$,$,B,C,$,$,$,$,$,B,F,B+,$,$,$,$,$,C-,B+,B,$,$,$,$,C,$,C,C,B,B+,$,$,$,$,$,$,C,$,$,$,$,B,$,$,C
$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,F,$,$,$,$,$,B-,B,$,$,C-,C+,C-,$,$,$,$,$,$,C-,$,$,$,$,$,$,C,$,$,$,D+,$,$,C+,C,$,$,$,$,$,C-,A-,C+,$,$,$,$,C-,$,C,$,F,B-,$,A,$,$,$,$,B-,$,$,$,$,A,F,$,C
$,C-,$,$,C+,F,$,F,$,$,C-,D,C,$,A-,C,D,$,B+,$,$,$,$,$,$,$,$,$,$,$,C+,$,$,C,$,$,$,B-,B+,$,$,$,$,$,B-,B,C+,$,$,$,$,$,$,A,$,$,D,$,$,C-,$,$,C-,$,$,$,$,$,A,$,$,F
$,$,$,$,$,$,B,B,$,A,B+,B,$,$,B,A,B-,$,A,$,$,$,$,$,$,$,B-,A,$,$,A-,$,$,B+,$,$,$,B,A,B+,$,$,$,$,A-,B,A-,$,$,$,$,$,$,B,$,$,A-,$,$,A-,A,A,A-,A,B-,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,C,$,$,$,$,$,A,C,B-,$,B,C+,D,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,B,B-,A,$,$,$,$,$,B-,B,B-,$,$,$,$,$,$,B,$,A-,C,$,$,C,$,$,D,C+,$,$,$,$,A-,$,$,B
$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,C-,$,C+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,B,C,B,C,$,A,B,B-,$,$,A,A-,C,$,A,$,$,$,$,$,$,$,A,B-,$,$,A-,$,$,$,$,B,$,B,B+,B+,$,$,$,$,B,B,B,$,$,$,$,$,$,B,$,$,B,$,$,C,B-,B,B+,A,C,$,$,$,$,$,$,$
$,$,$,$,F,$,$,$,C,D,C,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,B,$,$,$,$,$,$,C,F,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$
$,$,$,$,$,D,D,$,$,C,B+,B,$,$,F,$,F,$,$,$,$,$,$,$,$,$,B,B,$,$,$,$,$,B-,$,$,$,C-,C,$,$,$,$,$,F,C,F,$,$,$,$,$,$,C,$,C-,$,$,$,$,$,$,$,$,C-,$,$,$,B,$,$,F
$,$,$,$,$,$,$,D+,$,$,D,D,$,$,F,F,C,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C-,B,A-,$,$,$,$,D,C,F,$,$,$,$,$,$,F,$,B-,A-,$,$,$,$,$,$,C-,$,$,$,$,A-,$,$,F
$,$,$,$,C,C,F,F,$,C+,C+,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,A,C-,$,$,$,$,$,$,$,$,$,C-,$,$,$,$,$,$,$,B,D,$,$,$,$,C,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
B,$,$,$,$,$,$,$,$,B+,B-,B-,$,C+,C+,B+,$,$,$,$,B-,$,$,A-,C-,$,$,$,$,D,$,$,$,$,C-,$,$,$,A,$,C,$,$,$,$,B-,C+,$,$,A,$,$,$,B-,B+,A-,$,$,$,$,$,$,$,$,$,$,C+,B-,B+,$,$,B
$,$,$,$,D,$,$,$,C,C,B,C,$,$,C,C,F,$,$,$,$,$,$,$,$,$,$,$,$,$,C+,$,$,$,$,$,$,C,C,$,$,$,$,$,C-,B,D+,$,$,$,$,$,$,C,B,A,C-,$,$,$,$,$,$,$,$,$,$,$,A,C,$,B-
$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,A,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,F,F,$,$,$,$,$,$,$,$,$,$,$,$,A,$,$,$
$,B,$,$,C,C,F,C+,$,$,B,B,$,$,B+,C,C,$,A,$,$,$,$,$,$,$,C,$,$,$,B-,$,$,$,$,$,$,B,B-,$,$,$,$,$,B-,B,C,$,$,$,$,$,$,$,B,$,B-,$,$,$,$,$,$,$,$,$,$,$,C-,$,$,$
$,$,$,$,C-,$,$,$,$,A,B+,C+,$,$,B-,B+,F,$,$,$,$,$,$,B+,$,$,$,$,$,$,B,$,$,B-,B,$,$,D,C,$,$,$,$,$,C,B,B,$,$,$,$,$,$,D,B,A-,B,$,$,$,$,$,$,$,$,$,$,$,B+,C-,$,B+
$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,B,C+,B,A,$,A,A,B+,$,$,A,A,F,$,A,$,$,$,$,$,$,$,B+,B,$,$,A-,$,$,A-,$,$,A,B,A-,A,$,$,$,$,A-,A-,F,$,$,$,$,C,$,A,$,$,B+,$,$,B+,B+,A,B+,A,B+,$,$,$,$,$,$,$
$,$,$,$,C,$,$,$,$,B,A,C,$,$,B,C,F,$,$,A,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,B,B,B,$,$,$,$,$,C+,B,C+,$,$,B,$,C,$,C,B,$,B-,$,$,$,$,$,$,B,$,$,$,$,A,$,$,B-
$,$,$,$,B,B,C,C+,$,A,A,C,$,$,B-,C+,D,$,A,$,$,$,$,$,$,$,C+,C,$,$,C+,$,$,A-,$,$,$,C+,$,D,$,$,$,$,D+,C-,C-,$,$,$,$,$,$,B+,C,$,B-,$,$,C-,B-,B,B-,A-,F,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,C,C-,C+,$,$,D,$,$,$,$,$,$,D,$,$,C+,D,$,$,$,$,$,$,$,$,$,C+,$,$,$,B,$,C,$,B,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$
$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,D,$,$,$,$,$,$,F,$,$,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$
$,$,$,$,$,C,C+,A,$,A,B,B,$,$,B,B,F,$,A,$,$,$,$,$,$,$,A-,C,$,$,C,$,$,$,$,B,$,C,B,A-,$,$,$,$,B-,B,B,$,$,$,$,$,$,A,$,$,C,$,$,B,B-,A-,A-,B-,C-,$,$,$,$,$,$,$
B,$,$,$,$,$,$,$,B,B-,F,$,$,$,C,C+,$,$,$,$,B-,$,$,D,B,$,$,$,$,$,$,$,$,B,C+,$,$,$,B+,$,B-,$,$,A,$,C-,C+,$,$,B,$,$,$,C,C,A,$,$,$,$,$,$,$,$,$,$,C,B-,B,D,$,C+
$,$,$,$,$,$,$,$,F,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,D,$,$,$,D,A-,A,C,$,$,D,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D+,$,$,B,$,$,$,B,B,$,$,$,$,$,C-,B,C,$,$,$,$,$,$,B,$,B+,B-,$,$,$,$,$,$,$,$,$,$,$,A,C-,$,B
$,$,$,A,B,B,B,$,$,$,A,B+,$,A,$,B-,B-,$,A-,$,A-,$,$,A,$,$,B,$,$,$,$,$,$,$,A-,$,$,A-,A,$,A-,$,A-,$,$,B,A-,A,$,A,$,$,$,B,$,$,$,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,F,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,B,$,$,$,$,$,F,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,B,$,C,$,C,$,A-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,A,D,$,$
$,$,$,$,B,D,C-,C,$,B,B,B,$,$,B,B+,D,$,$,$,$,$,$,$,$,$,D,F,$,$,B,$,$,$,$,C,$,B,A,B,$,$,$,$,B-,A,B,$,$,$,$,$,$,A,$,$,B,$,$,C,B,A,B+,B+,D,$,$,$,$,B,$,$
B,$,$,$,$,$,$,$,$,A-,B+,$,$,$,B,C,$,$,$,$,D+,$,$,D,C,$,$,$,$,C,$,$,$,B,C,$,A,$,B,$,D,$,$,$,$,C,$,$,$,B+,$,$,$,C,B,B,$,$,$,$,$,$,$,$,$,$,B,C+,B-,$,$,B+
$,$,$,$,$,$,$,$,$,B,B-,$,$,$,$,$,$,$,$,$,C,$,$,B,$,$,$,$,$,$,$,$,$,$,D,$,A,$,A,$,$,$,$,$,$,F,$,$,$,$,$,D,$,C,F,F,$,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,A,A-,B+,A-,$,$,A-,C+,$,$,B,B,B+,$,A,$,$,$,$,$,$,$,A,B-,$,$,B,$,$,B,$,$,$,B-,A,B+,$,$,$,$,B,B+,B,$,$,$,$,$,$,B+,$,$,B,$,$,C+,A-,B,B,B+,B,$,$,$,$,$,$,$
$,$,$,$,F,F,$,$,$,D+,C,C-,$,$,$,$,D,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,B-,$,$,$,C-,C+,$,$,$,$,$,D,C+,F,$,$,$,$,$,$,B,$,C+,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$
$,$,$,$,C,$,$,$,B+,A-,A,B,$,$,A-,A,B,$,$,$,$,$,$,A,$,$,$,$,$,$,$,$,$,B,B,$,$,B,B,$,$,$,$,$,A-,B,B-,$,$,A,$,$,$,B,$,$,B,$,$,$,$,$,A-,$,$,$,$,$,A-,B,$,B
$,$,$,$,$,C,C,$,$,A,B,C,A-,$,B,B+,C,$,A,$,$,$,$,$,$,$,C,$,$,$,D,$,$,$,$,$,$,B,B,$,$,$,$,$,D,B,B,$,$,$,$,$,$,B,$,A,C,$,$,$,$,$,$,$,$,$,$,$,A,$,$,A-
$,$,$,$,F,$,$,$,B+,B,B-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,F,$,$,$,$,B,$,$,$,$,$,B-,$,$,F,$,$,$,$,$,$,$,C-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,D,$,$
$,$,$,$,$,$,F,$,$,$,B,C,$,$,C,C,$,$,B,$,$,$,B,$,$,$,$,$,$,$,F,$,$,$,$,$,$,B,A,$,$,$,$,$,B,$,C,$,$,$,$,$,$,$,B,$,B-,$,$,$,$,$,$,$,$,$,B,C,C-,$,$,$
$,$,$,$,F,$,$,$,$,A-,A,$,$,$,$,$,$,$,$,$,C-,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C+,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,F,$,$,$,D,B,B,$,$,$,$,F,D,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,C-,C,$,$,$,$,$,F,C+,D,$,$,$,$,$,$,C,D,$,$,$,$,$,$,$,$,$,$,$,$,$,C,D,$,$
$,$,$,$,$,$,$,$,$,C,F,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,D,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,D,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,C-,C+,F,$,$,$,$,$,$,$,$,$,C-,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,D,$,B,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,F,$,$,$,$,C+,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$
$,$,$,$,$,B,B,A-,$,B,A,A-,$,$,A,B+,A-,$,A-,$,$,$,$,$,$,$,$,$,$,$,A,$,$,$,$,A,$,A,A-,A-,$,$,$,$,A-,A,A-,$,$,$,$,$,$,A,$,$,A-,$,$,B+,A,A,B+,A,A,$,$,$,$,$,$,$
$,$,$,$,C,$,$,$,$,B,B,C,$,$,B,C,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,C,B,$,$,$,$,$,C,C,C,$,$,$,$,$,$,B,B,A,C,$,$,$,$,$,$,C,$,$,$,$,A,A,$,C
$,$,$,$,$,C,C+,C,$,A-,A,B,$,$,B,C,C,$,A,$,$,$,$,$,$,$,B-,B,$,$,B,$,$,$,$,A-,$,B+,A,A,$,$,$,$,B-,A-,B,$,$,$,$,$,$,B,$,$,A,$,$,C,B,B,C,C-,C,$,$,$,$,$,$,$
$,$,$,$,F,D,D,D,$,B,B,C,$,$,C,C,C,$,A,$,$,$,$,$,$,$,C,C+,$,$,C,$,$,$,$,C,$,B,A,C,$,$,$,$,C,C,C,$,$,$,$,$,$,C,$,$,B,$,$,C+,B,B,B,C,B-,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,D,$,F,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,C,C,A,C,B,B,C,B,$,$,B,F,C,$,A,$,$,$,$,$,$,$,C,C-,$,$,B+,$,$,$,$,B,$,C,B,B+,$,$,$,$,C,B,C,$,$,$,$,$,$,B,$,$,B-,$,$,B,B,A,B,B,C,$,$,$,$,B,$,$
$,$,$,$,$,C,D,C,$,$,$,D,$,$,B,B,C,$,A,$,$,$,$,$,$,$,C,B,$,$,D,$,$,$,$,$,$,B,C,D,$,$,$,$,B,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,F,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,C-,B-,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$
$,$,$,$,B,B,B-,$,B,$,A-,B-,A,$,B+,$,D,$,A,$,$,$,$,$,$,$,C-,C-,$,$,A,$,$,A,$,A,$,B,B,C+,$,$,$,$,B,B,A-,$,$,$,$,$,$,C+,$,$,B,$,$,B-,A-,B,B+,A-,B+,$,$,$,$,B+,$,$
$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,B,$,$,$,$,$,$,$,$,$,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$
$,C+,$,$,F,$,$,$,F,B+,B+,C-,$,$,F,B,D,$,$,$,$,$,$,$,$,$,$,$,$,C,C,$,$,B,$,$,C,B,B-,$,$,$,$,$,C,B-,C-,$,$,$,$,$,$,C,B-,C+,C,$,$,$,$,$,$,$,$,$,B-,$,A,C,$,D
$,$,$,$,$,$,$,$,$,C+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
C,$,$,$,$,$,$,$,$,$,B,$,$,C-,C-,C-,$,$,$,$,C,$,$,C,D,$,$,$,$,$,$,$,$,$,C,$,A,$,A,$,B,$,B,$,$,F,$,$,$,$,$,D,$,D,B,B-,$,$,$,$,$,$,$,$,$,$,C-,B,B,$,$,C+
$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,C,$,$,D,$,$,$,$,B+,C,B-,$,$,C,C+,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,A,C+,B,$,$,$,$,$,C,C+,C+,$,$,$,$,$,$,C,C,$,B,$,$,$,$,$,$,$,$,$,B,$,B-,$,$,$
$,$,$,$,$,$,$,$,$,A,A-,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,D,$,$,$,$,D,$,$,$,D+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$
$,$,$,$,$,C+,B,$,$,B+,A-,B,$,$,B-,A-,B-,$,A,$,$,$,$,$,$,$,C+,B-,$,$,C+,$,$,B,$,A,$,B+,B+,B,$,$,$,$,B+,C+,B,$,$,$,$,$,$,A-,$,$,B+,$,$,A-,A,A,A,B,C,$,$,$,$,$,$,$
